id;nombre;path;ubicacion;producto_id
1;Rustic Frozen Tuna;programming Idaho;Wooden partnerships Maine;1
2;Liberia Berkshire Rubber;Arizona;Keyboard;2
3;Eritrea;neural Consultant;overriding;3
4;Turkish Lira Cordoba Oro Gorgeous;ADP;Tasty Rubber Car;4
5;Saint Helena Industrial Rest;holistic Generic Steel Pants;infrastructures software projection;5
6;bypass;generate Forward;navigating Fantastic;6
7;Soft;Outdoors;Movies Personal Loan Account Sleek Concrete Pants;7
8;real-time override;mobile Incredible Cotton Shoes;strategic Credit Card Account calculating;8
9;navigate calculate;parse Palladium;invoice synthesizing;9
10;attitude;Personal Loan Account;toolset;10
