id;nombre;precio;precio_descuento;porcentaje;descripcion
1;budgetary management;40645;22191;90204;transmit
2;turquoise;51654;72405;89169;bypassing
3;online;53275;98594;85865;Checking Account
4;synthesizing;26631;86414;7751;orchid pink
5;sensor reboot;23102;66940;48081;Bermuda
6;Shoes XSS;78123;78708;32131;Tools
7;back-end challenge Haiti;53247;15613;50041;enterprise Uzbekistan Sum
8;yellow compress Won;26383;27860;66618;grey SSL
9;Iowa application;65939;84395;78616;Hollow
10;Berkshire;12388;75452;95544;heuristic Investor B2B
